ScientificName,AphiaID,Match type,ScientificName,Taxon status,AphiaID_accepted,ScientificName_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,isMarine,isBrackish,isFresh,isTerrestrial
Pleuronectes platessa,127143,exact,Pleuronectes platessa,accepted,127143,Pleuronectes platessa,Animalia,Chordata,Teleostei,Pleuronectiformes,Pleuronectidae,Pleuronectes,,platessa,,1,1,0,0
Pollachius pollachius,126440,exact,Pollachius pollachius,accepted,126440,Pollachius pollachius,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Pollachius,,pollachius,,1,0,0,0
Pollachius virens,126441,exact,Pollachius virens,accepted,126441,Pollachius virens,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Pollachius,,virens,,1,0,0,0
Polyprion americanus,126998,exact,Polyprion americanus,accepted,126998,Polyprion americanus,Animalia,Chordata,Teleostei,Acropomatiformes,Polyprionidae,Polyprion,,americanus,,1,0,0,0
Psetta maxima,154473,exact,Psetta maxima,unaccepted,127149,Scophthalmus maximus,Animalia,Chordata,Teleostei,Pleuronectiformes,Scophthalmidae,Psetta,,maxima,,1,1,0,0
Raja asterias,105881,exact,Raja asterias,accepted,105881,Raja asterias,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,Raja,,asterias,,1,0,0,0
Raja clavata,105883,exact,Raja clavata,accepted,105883,Raja clavata,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,Raja,,clavata,,1,0,0,0
Raja miraletus,105886,exact,Raja miraletus,accepted,105886,Raja miraletus,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,Raja,,miraletus,,1,1,0,0
Raja montagui,105887,exact,Raja montagui,accepted,105887,Raja montagui,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,Raja,,montagui,,1,0,0,0
Raja polystigma,105888,exact,Raja polystigma,accepted,105888,Raja polystigma,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,Raja,,polystigma,,1,0,0,0
Raja undulata,105891,exact,Raja undulata,accepted,105891,Raja undulata,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,Raja,,undulata,,1,0,0,0
Rajella fyllae,105894,exact,Rajella fyllae,accepted,105894,Rajella fyllae,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,Rajella,,fyllae,,1,0,0,0
Rhinochimaera atlantica,105830,exact,Rhinochimaera atlantica,accepted,105830,Rhinochimaera atlantica,Animalia,Chordata,Holocephali,Chimaeriformes,Rhinochimaeridae,Rhinochimaera,,atlantica,,1,0,0,0
Rostroraja alba,105896,exact,Rostroraja alba,accepted,105896,Rostroraja alba,Animalia,Chordata,Elasmobranchii,Rajiformes,Rajidae,Rostroraja,,alba,,1,0,0,0
Salmo salar,127186,exact,Salmo salar,accepted,127186,Salmo salar,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Salmo,,salar,,1,1,1,0
Salmo trutta,127187,exact,Salmo trutta,accepted,127187,Salmo trutta,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Salmo,,trutta,,1,1,1,0
Sander lucioperca,151308,exact,Sander lucioperca,accepted,151308,Sander lucioperca,Animalia,Chordata,Teleostei,Perciformes,Percidae,Sander,,lucioperca,,0,1,1,0
Sarda sarda,127021,exact,Sarda sarda,accepted,127021,Sarda sarda,Animalia,Chordata,Teleostei,Scombriformes,Scombridae,Sarda,,sarda,,1,1,0,0
Sardina pilchardus,126421,exact,Sardina pilchardus,accepted,126421,Sardina pilchardus,Animalia,Chordata,Teleostei,Clupeiformes,Alosidae,Sardina,,pilchardus,,1,1,1,0
Sarpa salpa,127064,exact,Sarpa salpa,accepted,127064,Sarpa salpa,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sparidae,Sarpa,,salpa,,1,1,0,0
Sciaena umbra,127010,exact,Sciaena umbra,accepted,127010,Sciaena umbra,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sciaenidae,Sciaena,,umbra,,1,1,0,0
Scomber colias,151174,exact,Scomber colias,accepted,151174,Scomber colias,Animalia,Chordata,Teleostei,Scombriformes,Scombridae,Scomber,,colias,,1,1,0,0
Scomber scombrus,127023,exact,Scomber scombrus,accepted,127023,Scomber scombrus,Animalia,Chordata,Teleostei,Scombriformes,Scombridae,Scomber,,scombrus,,1,1,0,0
Scophthalmus maximus,127149,exact,Scophthalmus maximus,accepted,127149,Scophthalmus maximus,Animalia,Chordata,Teleostei,Pleuronectiformes,Scophthalmidae,Scophthalmus,,maximus,,1,1,0,0
Scophthalmus maximus,127149,exact,Scophthalmus maximus,accepted,127149,Scophthalmus maximus,Animalia,Chordata,Teleostei,Pleuronectiformes,Scophthalmidae,Scophthalmus,,maximus,,1,1,0,0
Scophthalmus rhombus,127150,exact,Scophthalmus rhombus,accepted,127150,Scophthalmus rhombus,Animalia,Chordata,Teleostei,Pleuronectiformes,Scophthalmidae,Scophthalmus,,rhombus,,1,0,0,0
Scorpaena loppei,127244,exact,Scorpaena loppei,accepted,127244,Scorpaena loppei,Animalia,Chordata,Teleostei,Perciformes,Scorpaenidae,Scorpaena,,loppei,,1,0,0,0
Scorpaena notata,127246,exact,Scorpaena notata,accepted,127246,Scorpaena notata,Animalia,Chordata,Teleostei,Perciformes,Scorpaenidae,Scorpaena,,notata,,1,0,0,0
Scorpaena porcus,127247,exact,Scorpaena porcus,accepted,127247,Scorpaena porcus,Animalia,Chordata,Teleostei,Perciformes,Scorpaenidae,Scorpaena,,porcus,,1,0,0,0
Scorpaena scrofa,127248,exact,Scorpaena scrofa,accepted,127248,Scorpaena scrofa,Animalia,Chordata,Teleostei,Perciformes,Scorpaenidae,Scorpaena,,scrofa,,1,1,0,0
Scyliorhinus canicula,105814,exact,Scyliorhinus canicula,accepted,105814,Scyliorhinus canicula,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Scyliorhinus,,canicula,,1,0,0,0
Scyliorhinus stellaris,105815,exact,Scyliorhinus stellaris,accepted,105815,Scyliorhinus stellaris,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Scyliorhinidae,Scyliorhinus,,stellaris,,1,0,0,0
Scymnodon ringens,105918,exact,Scymnodon ringens,accepted,105918,Scymnodon ringens,Animalia,Chordata,Elasmobranchii,Squaliformes,Somniosidae,Scymnodon,,ringens,,1,0,0,0
Sensitive Fish,,,,,,,,,,,,,,,,,,,
Serranus cabrilla,127041,exact,Serranus cabrilla,accepted,127041,Serranus cabrilla,Animalia,Chordata,Teleostei,Perciformes,Serranidae,Serranus,,cabrilla,,1,0,0,0
Serranus hepatus,127042,exact,Serranus hepatus,accepted,127042,Serranus hepatus,Animalia,Chordata,Teleostei,Perciformes,Serranidae,Serranus,,hepatus,,1,0,0,0
Solea solea,127160,exact,Solea solea,accepted,127160,Solea solea,Animalia,Chordata,Teleostei,Pleuronectiformes,Soleidae,Solea,,solea,,1,1,0,0
Solea solea,127160,exact,Solea solea,accepted,127160,Solea solea,Animalia,Chordata,Teleostei,Pleuronectiformes,Soleidae,Solea,,solea,,1,1,0,0
Sphyrna zygaena,105819,exact,Sphyrna zygaena,accepted,105819,Sphyrna zygaena,Animalia,Chordata,Elasmobranchii,Carcharhiniformes,Sphyrnidae,Sphyrna,,zygaena,,1,1,0,0
Spicara flexuosa,302566,exact,Spicara flexuosa,misspelling - incorrect original spelling,1577318,Spicara flexuosum,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sparidae,Spicara,,flexuosa,,1,0,0,0
Spicara maena,126828,exact,Spicara maena,accepted,126828,Spicara maena,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sparidae,Spicara,,maena,,1,0,0,0
Spondyliosoma cantharus,127066,exact,Spondyliosoma cantharus,accepted,127066,Spondyliosoma cantharus,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Sparidae,Spondyliosoma,,cantharus,,1,0,0,0
Sprattus sprattus,126425,exact,Sprattus sprattus,accepted,126425,Sprattus sprattus,Animalia,Chordata,Teleostei,Clupeiformes,Clupeidae,Sprattus,,sprattus,,1,1,0,0
Squalus acanthias,105923,exact,Squalus acanthias,accepted,105923,Squalus acanthias,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,,acanthias,,1,1,0,0
Squalus blainville,105924,exact,Squalus blainville,accepted,105924,Squalus blainville,Animalia,Chordata,Elasmobranchii,Squaliformes,Squalidae,Squalus,,blainville,,1,1,0,0
Squatina squatina,105928,exact,Squatina squatina,accepted,105928,Squatina squatina,Animalia,Chordata,Elasmobranchii,Squatiniformes,Squatinidae,Squatina,,squatina,,1,1,0,0
Symphodus cinereus,273567,exact,Symphodus cinereus,accepted,273567,Symphodus cinereus,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Labridae,Symphodus,,cinereus,,1,1,0,0
Symphodus tinca,273575,exact,Symphodus tinca,accepted,273575,Symphodus tinca,Animalia,Chordata,Teleostei,Eupercaria incertae sedis,Labridae,Symphodus,,tinca,,1,1,0,0
Symphurus nigrescens,127134,exact,Symphurus nigrescens,accepted,127134,Symphurus nigrescens,Animalia,Chordata,Teleostei,Pleuronectiformes,Cynoglossidae,Symphurus,,nigrescens,,1,0,0,0
Thunnus alalunga,127026,exact,Thunnus alalunga,accepted,127026,Thunnus alalunga,Animalia,Chordata,Teleostei,Scombriformes,Scombridae,Thunnus,,alalunga,,1,0,0,0
Thunnus thynnus,127029,exact,Thunnus thynnus,accepted,127029,Thunnus thynnus,Animalia,Chordata,Teleostei,Scombriformes,Scombridae,Thunnus,,thynnus,,1,1,0,0
Thymallus thymallus,154375,exact,Thymallus thymallus,accepted,154375,Thymallus thymallus,Animalia,Chordata,Teleostei,Salmoniformes,Salmonidae,Thymallus,,thymallus,,0,1,1,0
Torpedo marmorata,271684,exact,Torpedo marmorata,accepted,271684,Torpedo marmorata,Animalia,Chordata,Elasmobranchii,Torpediniformes,Torpedinidae,Torpedo,,marmorata,,1,1,0,0
Trachinus draco,127082,exact,Trachinus draco,accepted,127082,Trachinus draco,Animalia,Chordata,Teleostei,Perciformes,Trachinidae,Trachinus,,draco,,1,0,0,0
Trachurus mediterraneus,126820,exact,Trachurus mediterraneus,accepted,126820,Trachurus mediterraneus,Animalia,Chordata,Teleostei,Carangiformes,Carangidae,Trachurus,,mediterraneus,,1,1,0,0
Trachurus picturatus,126821,exact,Trachurus picturatus,accepted,126821,Trachurus picturatus,Animalia,Chordata,Teleostei,Carangiformes,Carangidae,Trachurus,,picturatus,,1,0,0,0
Trachurus trachurus,126822,exact,Trachurus trachurus,accepted,126822,Trachurus trachurus,Animalia,Chordata,Teleostei,Carangiformes,Carangidae,Trachurus,,trachurus,,1,0,0,0
Trachyrincus scabrus,126482,exact,Trachyrincus scabrus,accepted,126482,Trachyrincus scabrus,Animalia,Chordata,Teleostei,Gadiformes,Macrouridae,Trachyrincus,,scabrus,,1,0,0,0
Trachyscorpia cristulata,127256,exact,Trachyscorpia cristulata,accepted,127256,Trachyscorpia cristulata,Animalia,Chordata,Teleostei,Perciformes,Sebastidae,Trachyscorpia,,cristulata,,1,0,0,0
Trigla lyra,127266,exact,Trigla lyra,accepted,127266,Trigla lyra,Animalia,Chordata,Teleostei,Perciformes,Triglidae,Trigla,,lyra,,1,0,0,0
Trisopterus esmarkii,126444,exact,Trisopterus esmarkii,accepted,126444,Trisopterus esmarkii,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Trisopterus,,esmarkii,,1,0,0,0
Trisopterus luscus,126445,exact,Trisopterus luscus,accepted,126445,Trisopterus luscus,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Trisopterus,,luscus,,1,1,0,0
Trisopterus minutus,126446,exact,Trisopterus minutus,accepted,126446,Trisopterus minutus,Animalia,Chordata,Teleostei,Gadiformes,Gadidae,Trisopterus,,minutus,,1,0,0,0
Vimba vimba,283150,exact,Vimba vimba,accepted,283150,Vimba vimba,Animalia,Chordata,Teleostei,Cypriniformes,Cyprinidae,Vimba,,vimba,,0,1,1,0
Xiphias gladius,127094,exact,Xiphias gladius,accepted,127094,Xiphias gladius,Animalia,Chordata,Teleostei,Carangiformes,Xiphiidae,Xiphias,,gladius,,1,0,0,0
Zeus faber,127427,exact,Zeus faber,accepted,127427,Zeus faber,Animalia,Chordata,Teleostei,Zeiformes,Zeidae,Zeus,,faber,,1,1,0,0
Zoarces viviparus,127123,exact,Zoarces viviparus,accepted,127123,Zoarces viviparus,Animalia,Chordata,Teleostei,Perciformes,Zoarcidae,Zoarces,,viviparus,,1,1,0,0
Balaenoptera acutorostrata,137087,exact,Balaenoptera acutorostrata,accepted,137087,Balaenoptera acutorostrata,Animalia,Chordata,Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera,,acutorostrata,,1,,,0
Balaenoptera borealis,137088,exact,Balaenoptera borealis,accepted,137088,Balaenoptera borealis,Animalia,Chordata,Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera,,borealis,,1,,,0
Balaenoptera edeni,137089,exact,Balaenoptera edeni,accepted,137089,Balaenoptera edeni,Animalia,Chordata,Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera,,edeni,,1,,,0
Balaenoptera musculus,137090,exact,Balaenoptera musculus,accepted,137090,Balaenoptera musculus,Animalia,Chordata,Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera,,musculus,,1,,,0
Balaenoptera physalus,137091,exact,Balaenoptera physalus,accepted,137091,Balaenoptera physalus,Animalia,Chordata,Mammalia,Cetartiodactyla,Balaenopteridae,Balaenoptera,,physalus,,1,,,0
Delphinus delphis,137094,exact,Delphinus delphis,accepted,137094,Delphinus delphis,Animalia,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Delphinus,,delphis,,1,,,0
Globicephala macrorhynchus,137096,exact,Globicephala macrorhynchus,accepted,137096,Globicephala macrorhynchus,Animalia,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Globicephala,,macrorhynchus,,1,,,0
Globicephala melas,137097,exact,Globicephala melas,accepted,137097,Globicephala melas,Animalia,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Globicephala,,melas,,1,,,0
Grampus griseus,137098,exact,Grampus griseus,accepted,137098,Grampus griseus,Animalia,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Grampus,,griseus,,1,,,0
Halichoerus grypus,137080,exact,Halichoerus grypus,accepted,137080,Halichoerus grypus,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Halichoerus,,grypus,,1,,,
Halichoerus grypus,137080,exact,Halichoerus grypus,accepted,137080,Halichoerus grypus,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Halichoerus,,grypus,,1,,,
Hyperoodon ampullatus,343899,exact,Hyperoodon ampullatus,accepted,343899,Hyperoodon ampullatus,Animalia,Chordata,Mammalia,Cetartiodactyla,Ziphiidae,Hyperoodon,,ampullatus,,1,,,0
Kogia breviceps,137113,exact,Kogia breviceps,accepted,137113,Kogia breviceps,Animalia,Chordata,Mammalia,Cetartiodactyla,Kogiidae,Kogia,,breviceps,,1,0,0,0
Lagerorhynchus albirostris,,,,,,,,,,,,,,,,,,,
Megaptera novaeangliae,137092,exact,Megaptera novaeangliae,accepted,137092,Megaptera novaeangliae,Animalia,Chordata,Mammalia,Cetartiodactyla,Balaenopteridae,Megaptera,,novaeangliae,,1,,,0
Mesoplodon bidens,137121,exact,Mesoplodon bidens,accepted,137121,Mesoplodon bidens,Animalia,Chordata,Mammalia,Cetartiodactyla,Ziphiidae,Mesoplodon,,bidens,,1,,,0
Mesoplodon europaeus,137123,exact,Mesoplodon europaeus,accepted,137123,Mesoplodon europaeus,Animalia,Chordata,Mammalia,Cetartiodactyla,Ziphiidae,Mesoplodon,,europaeus,,1,,,0
Mesoplodon mirus,137126,exact,Mesoplodon mirus,accepted,137126,Mesoplodon mirus,Animalia,Chordata,Mammalia,Cetartiodactyla,Ziphiidae,Mesoplodon,,mirus,,1,0,0,0
Monachus monachus,137081,exact,Monachus monachus,accepted,137081,Monachus monachus,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Monachus,,monachus,,1,,,
Orcinus orca,137102,exact,Orcinus orca,accepted,137102,Orcinus orca,Animalia,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Orcinus,,orca,,1,,,0
Phoca hispida,137083,exact,Phoca hispida,unaccepted,159021,Pusa hispida,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Phoca,,hispida,,1,,,
Phoca vitulina,137084,exact,Phoca vitulina,accepted,137084,Phoca vitulina,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Phoca,,vitulina,,1,1,1,
Phocoena phocoena,137117,exact,Phocoena phocoena,accepted,137117,Phocoena phocoena,Animalia,Chordata,Mammalia,Cetartiodactyla,Phocoenidae,Phocoena,,phocoena,,1,1,,0
Phocoena phocoena,137117,exact,Phocoena phocoena,accepted,137117,Phocoena phocoena,Animalia,Chordata,Mammalia,Cetartiodactyla,Phocoenidae,Phocoena,,phocoena,,1,1,,0
Physeter catodon,137118,exact,Physeter catodon,unaccepted,137119,Physeter macrocephalus,Animalia,Chordata,Mammalia,Cetartiodactyla,Physeteridae,Physeter,,catodon,,1,,,0
Physeter macrocephalus,137119,exact,Physeter macrocephalus,accepted,137119,Physeter macrocephalus,Animalia,Chordata,Mammalia,Cetartiodactyla,Physeteridae,Physeter,,macrocephalus,,1,,,0
Pseudorca crassidens,137104,exact,Pseudorca crassidens,accepted,137104,Pseudorca crassidens,Animalia,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Pseudorca,,crassidens,,1,,,0
Pusa hispida,159021,exact,Pusa hispida,accepted,159021,Pusa hispida,Animalia,Chordata,Mammalia,Carnivora,Phocidae,Pusa,,hispida,,1,0,0,0
Stenella coeruleoalba,137107,exact,Stenella coeruleoalba,accepted,137107,Stenella coeruleoalba,Animalia,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Stenella,,coeruleoalba,,1,,,0
Stenella frontalis,137108,exact,Stenella frontalis,accepted,137108,Stenella frontalis,Animalia,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Stenella,,frontalis,,1,,,0
Steno bredanensis,137110,exact,Steno bredanensis,accepted,137110,Steno bredanensis,Animalia,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Steno,,bredanensis,,1,,,0
Tursiops truncatus,137111,exact,Tursiops truncatus,accepted,137111,Tursiops truncatus,Animalia,Chordata,Mammalia,Cetartiodactyla,Delphinidae,Tursiops,,truncatus,,1,1,,0
Ziphius cavirostris,137127,exact,Ziphius cavirostris,accepted,137127,Ziphius cavirostris,Animalia,Chordata,Mammalia,Cetartiodactyla,Ziphiidae,Ziphius,,cavirostris,,1,,,0
