ScientificName,AphiaID,Match type,ScientificName,Taxon status,AphiaID_accepted,ScientificName_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,isMarine,isBrackish,isFresh,isTerrestrial
Larus marinus,137146,exact,Larus marinus,accepted,137146,Larus marinus,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,,marinus,,1,,,1
Larus melanocephalus,137147,exact,Larus melanocephalus,unaccepted,1584284,Ichthyaetus melanocephalus,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,,melanocephalus,,1,,,1
Larus michahellis,232052,exact,Larus michahellis,accepted,232052,Larus michahellis,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,,michahellis,,1,,,1
Larus ridibundus,137149,exact,Larus ridibundus,accepted,137149,Larus ridibundus,Animalia,Chordata,Aves,Charadriiformes,Laridae,Larus,,ridibundus,,1,,,1
Limosa lapponica,159034,exact,Limosa lapponica,accepted,159034,Limosa lapponica,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Limosa,,lapponica,,1,,1,1
Limosa limosa,159035,exact,Limosa limosa,accepted,159035,Limosa limosa,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Limosa,,limosa,,0,0,1,1
Melanitta fusca,137072,exact,Melanitta fusca,accepted,137072,Melanitta fusca,Animalia,Chordata,Aves,Anseriformes,Anatidae,Melanitta,,fusca,,1,,,1
Melanitta nigra,137073,exact,Melanitta nigra,accepted,137073,Melanitta nigra,Animalia,Chordata,Aves,Anseriformes,Anatidae,Melanitta,,nigra,,1,,,1
Melanitta spp.,137002,exact,Melanitta,accepted,137002,Melanitta,Animalia,Chordata,Aves,Anseriformes,Anatidae,Melanitta,,,,1,,,1
Mergellus albellus,232039,exact,Mergellus albellus,accepted,232039,Mergellus albellus,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mergellus,,albellus,,0,,1,1
Mergus merganser,159097,exact,Mergus merganser,accepted,159097,Mergus merganser,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mergus,,merganser,,1,1,1,1
Mergus serrator,159098,exact,Mergus serrator,accepted,159098,Mergus serrator,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mergus,,serrator,,1,,1,1
Morus bassanus,148776,exact,Morus bassanus,accepted,148776,Morus bassanus,Animalia,Chordata,Aves,Pelecaniformes,Sulidae,Morus,,bassanus,,1,,,1
Morus bassanus,148776,exact,Morus bassanus,accepted,148776,Morus bassanus,Animalia,Chordata,Aves,Pelecaniformes,Sulidae,Morus,,bassanus,,1,,,1
Numenius arquata,159037,exact,Numenius arquata,accepted,159037,Numenius arquata,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius,,arquata,,1,,1,1
Numenius phaeopus,159040,exact,Numenius phaeopus,accepted,159040,Numenius phaeopus,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Numenius,,phaeopus,,1,,,1
Oceanodroma castro,137191,exact,Oceanodroma castro,accepted,137191,Oceanodroma castro,Animalia,Chordata,Aves,Procellariiformes,Hydrobatidae,Oceanodroma,,castro,,1,,,1
Oceanodroma leucorhoa,137192,exact,Oceanodroma leucorhoa,accepted,137192,Oceanodroma leucorhoa,Animalia,Chordata,Aves,Procellariiformes,Hydrobatidae,Oceanodroma,,leucorhoa,,1,,,1
Pelagodroma marina,212700,exact,Pelagodroma marina,accepted,212700,Pelagodroma marina,Animalia,Chordata,Aves,Procellariiformes,Hydrobatidae,Pelagodroma,,marina,,1,,,1
Phalacrocorax aristotelis,137178,exact,Phalacrocorax aristotelis,superseded combination,1704278,Gulosus aristotelis,Animalia,Chordata,Aves,Pelecaniformes,Phalacrocoracidae,Phalacrocorax,,aristotelis,,1,,,1
Phalacrocorax carbo,137179,exact,Phalacrocorax carbo,accepted,137179,Phalacrocorax carbo,Animalia,Chordata,Aves,Pelecaniformes,Phalacrocoracidae,Phalacrocorax,,carbo,,1,1,1,1
Philomachus pugnax,159046,exact,Philomachus pugnax,accepted,159046,Philomachus pugnax,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Philomachus,,pugnax,,1,,,1
Platalea leucorodia,416678,exact,Platalea leucorodia,accepted,416678,Platalea leucorodia,Animalia,Chordata,Aves,Ciconiiformes,Threskiornithidae,Platalea,,leucorodia,,1,,,1
Pluvialis apricaria,159135,exact,Pluvialis apricaria,accepted,159135,Pluvialis apricaria,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,,apricaria,,1,,,1
Pluvialis squatarola,159137,exact,Pluvialis squatarola,accepted,159137,Pluvialis squatarola,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Pluvialis,,squatarola,,1,,,1
Podiceps auritus,137181,exact,Podiceps auritus,accepted,137181,Podiceps auritus,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Podiceps,,auritus,,1,1,1,1
Podiceps cristatus,137182,exact,Podiceps cristatus,accepted,137182,Podiceps cristatus,Animalia,Chordata,Aves,Podicipediformes,Podicipedidae,Podiceps,,cristatus,,1,,1,1
