occurrenceId,verbatimScientificName,scientificName,key,matchType,confidence,status,rank,kingdom,phylum,class,order,family,genus,species,canonicalName,authorship,usageKey,acceptedUsageKey
,"Ludwigia grandiflora (Michx.) Greuter & Burdet","Ludwigia grandiflora (Michx.) Greuter & Burdet","5421039","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","Ludwigia","Ludwigia grandiflora","Ludwigia grandiflora","(Michx.) Greuter & Burdet","5421039",
,"Ludwigia peploides (Kunth) P.H. Raven","Ludwigia peploides (Kunth) P.H.Raven","5420991","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","Ludwigia","Ludwigia peploides","Ludwigia peploides","(Kunth) P.H.Raven","5420991",
,"Lysichiton americanus Hult�n and St. John","Lysichiton americanus Hultén & H.St.John","2869311","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","Lysichiton","Lysichiton americanus","Lysichiton americanus","Hultén & H.St.John","2869311",
,"Muntiacus reevesi Ogilby, 1839","Muntiacus reevesi (Ogilby, 1839)","2440946","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","Muntiacus","Muntiacus reevesi","Muntiacus reevesi","(Ogilby, 1839) ","2440946",
,"Myocastor coypus Molina, 1782","Myocastor coypus (Molina, 1782)","4264680","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Rodentia","Myocastoridae","Myocastor","Myocastor coypus","Myocastor coypus","(Molina, 1782) ","4264680",
,"Myriophyllum aquaticum (Vell.) Verdc.","Myriophyllum aquaticum (Vell.) Verdc.","5361785","EXACT","100","ACCEPTED","SPECIES","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Haloragaceae","Myriophyllum","Myriophyllum aquaticum","Myriophyllum aquaticum","(Vell.) Verdc.","5361785",
,"Nasua nasua Linnaeus, 1766","Nasua nasua (Linnaeus, 1766)","2433536","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Mammalia","Carnivora","Procyonidae","Nasua","Nasua nasua","Nasua nasua","(Linnaeus, 1766) ","2433536",
,"Orconectes limosus Rafinesque, 1817","Orconectes limosus (Rafinesque, 1817)","2227000","EXACT","99","SYNONYM","SPECIES","Animalia","Arthropoda","Malacostraca","Decapoda","Cambaridae","Faxonius","Faxonius limosus","Orconectes limosus","(Rafinesque, 1817) ","2227000","8909595"
,"Orconectes virilis Hagen, 1870","Orconectes virilis (Hagen, 1870)","2227064","EXACT","99","SYNONYM","SPECIES","Animalia","Arthropoda","Malacostraca","Decapoda","Cambaridae","Faxonius","Faxonius virilis","Orconectes virilis","(Hagen, 1870) ","2227064","8971201"
,"Oxyura jamaicensis Gmelin, 1789","Oxyura jamaicensis (J.F.Gmelin, 1789)","2498305","EXACT","99","ACCEPTED","SPECIES","Animalia","Chordata","Aves","Anseriformes","Anatidae","Oxyura","Oxyura jamaicensis","Oxyura jamaicensis","(J.F.Gmelin, 1789) ","2498305",
